"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI Selected JCR Year: 2017 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2017 JIF,JIF Quartile,2017 JCI,% of Citable OA
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","15,184","5.43","Q1","3.21","N/A",
"JOURNAL OF INFORMATION TECHNOLOGY","J INF TECHNOL-UK","PALGRAVE MACMILLAN LTD","0268-3962","1466-4437","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,170","4.535","Q1","1.81","N/A",
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","INT J INFORM MANAGE","ELSEVIER SCI LTD","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","3,626","4.516","Q1","3.24","N/A",
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","ELSEVIER SCIENCE BV","0963-8687","1873-1198","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,464","4.313","Q1","2.15","N/A",
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","OXFORD UNIV PRESS","1067-5027","1527-974X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","8,713","4.27","Q1","1.83","N/A",
"INFORMATION SYSTEMS JOURNAL","INFORM SYST J","WILEY","1350-1917","1365-2575","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,580","4.267","Q1","2.8","N/A",
"GOVERNMENT INFORMATION QUARTERLY","GOV INFORM Q","ELSEVIER INC","0740-624X","1872-9517","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","2,837","4.009","Q1","2.57","N/A",
"Journal of Computer-Mediated Communication","J COMPUT-MEDIAT COMM","OXFORD UNIV PRESS INC","1083-6101","1083-6101","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,181","4","Q1","3.32","N/A",
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","ELSEVIER SCIENCE BV","0378-7206","1872-7530","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6,406","3.89","Q1","2.06","N/A",
"TELEMATICS AND INFORMATICS","TELEMAT INFORM","ELSEVIER SCIENCE BV","0736-5853","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","1,574","3.789","Q1","2.81","N/A",
