"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","INT J INFORM MANAGE","ELSEVIER SCI LTD","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","23,587","27","Q1","6.63","34.44"%,
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","ELSEVIER","0963-8687","1873-1198","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,480","11.8","Q1","2.05","53.23"%,
"GOVERNMENT INFORMATION QUARTERLY","GOV INFORM Q","ELSEVIER INC","0740-624X","1872-9517","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","8,409","10","Q1","3","40.16"%,
"Journal of Knowledge Management","J KNOWL MANAG","EMERALD GROUP PUBLISHING LTD","1367-3270","1758-7484","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","10,791","9.5","Q1","2.08","6.8"%,
"EUROPEAN JOURNAL OF INFORMATION SYSTEMS","EUR J INFORM SYST","TAYLOR & FRANCIS LTD","0960-085X","1476-9344","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","6,394","8.6","Q1","1.96","21.49"%,
"TELEMATICS AND INFORMATICS","TELEMAT INFORM","ELSEVIER","0736-5853","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","9,439","8.3","Q1","2.41","21.4"%,
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","ELSEVIER","0378-7206","1872-7530","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","14,434","8.2","Q1","2.29","15.61"%,
"Bottom Line","BOTTOM LINE","EMERALD GROUP PUBLISHING LTD","0888-045X","2054-1724","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","602","7.3","Q1","2.03","3.45"%,
"INFORMATION PROCESSING & MANAGEMENT","INFORM PROCESS MANAG","ELSEVIER SCI LTD","0306-4573","1873-5371","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","13,726","6.9","Q1","2.19","10.03"%,
"TELECOMMUNICATIONS POLICY","TELECOMMUN POLICY","ELSEVIER SCI LTD","0308-5961","1879-3258","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","5,212","6.4","Q1","2.3","27.53"%,
"Journal of Enterprise Information Management","J ENTERP INF MANAG","EMERALD GROUP PUBLISHING LTD","1741-0398","1758-7409","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","4,418","6.4","Q1","1.68","2.31"%,
