ID;Title;Authors;Year;Kewords;Section;IDCod;Vol;Num;PINI;PEND;Affiliation;
478;Contribuição à Arqueologia de Santa Teresa, no Estado do Espírito Santo. Objetos de pedra de origem indígena;Ruschi Augusto;1953;;Série Antropologia ;BolMBMLantrop:;;1;1;22;;
528;Sistemática botânica e zoológica com as descrições de dois ninhos de trochilídeos: Glaucis hirsuta hirsuta (Gmelin) e Glaucis dohrni (Bourcier & Mulsant) e uma nova espécie de orquidácea (Pseudolaelia Ditrae).;Ruschi Augusto;1949;;Série Biologia;BolMBMLbiol:;;1;1;41;;
529;A polinização realizada pelos Trochilídios, a sua área se alimentação e o repovoamento;Ruschi Augusto;1949;;Série Biologia;BolMBMLbiol:;;2;1;51;;
355;A polinização realizada pelos Trochilídeos, a sua área de alimentação e o repovoamento;Ruschi Augusto;1949;;Série Biologia ;BolMBMLbiol:;;2;1;51;;
356;Classification of the nests of Trochilidae (hummingbirds);Ruschi Augusto;1949;;Série Biologia (Ingês);BolMBMLbiol:;;3;1;4;;
203;A classificação dos ninhos de Trochilídeos;Ruschi Augusto;1949;;Série Biologia (Português);BolMBMLbiol:;;3;1;119;;
530;Ninhos e ovos de Trochilídeos;Ruschi Augusto;1949;;Série Biologia;BolMBMLbiol:;;4;1;65;;
357;Ninhos e ovos de Trochilídeos;Ruschi Augusto;1949;;Série Biologia;BolMBMLbiol:;;4;1;65;;
204;"Ninhos e ovos dos Trochilideos: Chlorostilbon aureoventris pucherani (Bourcier & Mulsant, 1848); Hylocharis sapphirina sapphirina (Gmelin, 1788);  Thalurania furcata eriphile (Lesson, 1858); Clytolaema rubricauda (Boddaert, 1783); Stephanoxis lalandi (Vieillot, 1818); Aphantochroa cirrochloris (Vieillot, 1818); Thalurania furcata furcatoide Gould, 1861; Polytmus guainumbi thaumantias (Linnaus, 1766); Hylocharis cyanus rostrata Boucard, 1895; Chlorostilbon aureoventris berlepchi (Berlepsch & Ihering, 1885); Thalurania furcata baeri Helmayr, 1907; Chlorostilbon aureoventris aureoventris (d'Orb. & Lafresn., 1838); Hylocharis chrysura chrysura (Shaw, 1811); Gouldomya langsdorffi langsdorffi (Temminck, 1821). E os ninhos ilustrados na monografia de J. Gould";Ruschi Augusto;1949;;Série Biologia;BolMBMLbiol:;;5;1;55;;
358;"Nests and eggs of the Trochilidae: Pygmornis ruber ruber (Linnaeus); Florisuga melivora melivora (Linaeus); Agyrtrina leucogaster bahiae (Haetert); Agyrtrina fimbriata nigricauda (Elliot); Leucochloris albicollis (Vieillot); Heliotryx auritus auriculatus (Nordman); and Calliphlox amethystina (Boddaert). The methods of capturing the Trochilidae alive, their transportation and some types of cages, aviaries and incubators for raising and reproducing them in captivity. Some observations on flight orientation in the Trochilidae for long and short distances";Ruschi Augusto;1949;;Série Biologia (Ingês);BolMBMLbiol:;;6;1;16;;
205;Ninhos e ovos de Trochilídeos;Ruschi Augusto;1949;;Série Biologia (Português);BolMBMLbiol:;;6;1;53;;
